"","#Df","LogLik","Df","Chisq","Pr(>Chisq)"
"1",6,-106.926987520735,NA,NA,NA
"2",6,-106.926987520168,0,1.13357145892223e-09,0
"3",5,-106.947514214148,-1,0.0410533879604316,0.83943490446085
"4",5,-107.219064833245,0,0.543101238192435,0
"5",4,-107.549990491811,-1,0.661851317131976,0.415907118595548
