"","#Df","LogLik","Df","Chisq","Pr(>Chisq)"
"1",6,-79.222162696721,NA,NA,NA
"2",6,-79.2221626965004,0,4.41161773778731e-10,0
"3",5,-82.0002261018008,-1,5.5561268106008,0.0184161146908652
"4",5,-79.8493904273933,0,4.30167134881515,0
"5",4,-82.0739435570145,-1,4.44910625924251,0.0349195174553048
