"","#Df","LogLik","Df","Chisq","Pr(>Chisq)"
"1",6,-115.835044410151,NA,NA,NA
"2",6,-115.835044409872,0,5.57633939024527e-10,0
"3",5,-116.286984351984,-1,0.903879884224068,0.341743497526396
"4",5,-115.854764231747,0,0.864440240475233,0
"5",4,-116.422802583823,-1,1.1360767041534,0.286482868639987
