"","#Df","LogLik","Df","Chisq","Pr(>Chisq)"
"1",6,-90.9152319725125,NA,NA,NA
"2",6,-90.9152319705264,0,3.97224653170269e-09,0
"3",5,-91.179753233404,-1,0.529042525755159,0.467009679875389
"4",5,-90.9203972410153,0,0.518711984777411,0
"5",4,-91.2710683896362,-1,0.701342297241808,0.402333030190958
