"","#Df","LogLik","Df","Chisq","Pr(>Chisq)"
"1",6,-112.887909025809,NA,NA,NA
"2",6,-112.887909025645,0,3.29436034007813e-10,0
"3",5,-113.381202923341,-1,0.986587795392182,0.320577779553261
"4",5,-113.255200338128,0,0.252005170425605,0
"5",4,-113.414260219093,-1,0.318119761929552,0.572739796131943
