"","#Df","LogLik","Df","Chisq","Pr(>Chisq)"
"1",5,-80.7485409597095,NA,NA,NA
"2",5,-80.7485409595667,0,2.8560975806613e-10,0
"3",4,-80.7521194765045,-1,0.00715703387575672,0.932579991702795
"4",4,-80.7586848162744,0,0.0131306795396711,0
"5",3,-80.7834393380546,-1,0.0495090435604766,0.823919786952692
