"","#Df","LogLik","Df","Chisq","Pr(>Chisq)"
"1",6,-57.1072190895555,NA,NA,NA
"2",6,-57.1072190926732,0,6.23538198851747e-09,0
"3",5,-58.3922293368234,-1,2.57002048830041,0.108906321360169
"4",5,-57.6616901860712,0,1.46107830150446,0
"5",4,-58.3953913934482,-1,1.46740241475388,0.225755981733162
